batchsize,dim_input,dim_output,activation_fct
47,1396,3359,0
53,553,149,0
40,1805,1887,1
49,3616,311,1
48,4049,3289,1
30,283,3924,1
14,1088,588,1
17,1912,2902,1
29,3497,668,1
15,1572,1464,1
2,321,3385,1
11,2506,2361,0
31,3582,1171,0
54,883,2727,1
39,78,808,1
59,890,3141,1
64,463,3153,1
26,212,2506,0
20,2040,687,1
62,282,2673,1
26,1325,3243,1
3,3422,3907,0
44,1686,3885,1
53,1755,2909,1
16,1386,1654,1
56,1618,3063,0
29,242,3197,1
23,3073,1589,1
2,1308,2211,0
52,2278,2085,1
56,246,4063,0
55,2742,2544,1
38,2920,1535,0
48,3965,2285,1
42,1666,3529,0
8,998,536,1
9,1216,3615,1
8,2660,1537,0
29,1477,192,1
31,3816,2488,1
7,271,2788,0
7,878,3895,1
59,3136,3172,1
39,194,645,0
48,1298,1852,1
9,3901,1483,0
38,845,3053,1
23,2802,3763,1
12,3124,2088,0
4,3563,4045,0
28,2780,2506,1
54,3665,663,1
38,2694,199,0
57,3826,2092,0
39,222,3965,1
40,472,575,0
53,2857,981,0
42,378,1537,1
16,2970,2199,0
31,3036,1192,1
35,1984,2593,0
14,3169,2920,0
22,3317,1044,0
35,1632,1408,0
8,3794,737,0
55,3732,3841,0
55,1957,1584,1
59,2820,1476,0
53,1136,1845,1
42,1435,516,1
22,2155,3173,0
24,2731,2804,1
13,3075,1736,1
54,1244,2381,0
1,1297,3118,0
26,2549,3234,0
31,1064,2500,1
13,593,1273,0
1,3299,1819,1
29,2550,3228,0
22,2282,3642,0
19,1281,1804,1
21,3624,610,0
27,2057,2664,1
54,1827,1933,0
54,2069,3150,1
56,606,3550,0
45,3814,2252,1
40,2818,3308,1
30,3569,1107,0
35,999,3522,0
7,42,1765,1
41,3492,3251,0
21,1423,1107,0
16,3966,2129,0
7,1238,4049,0
25,1277,1044,0
21,1089,809,1
64,2330,3642,1
22,1771,460,0
30,1076,1575,1
10,2963,471,0
41,1594,3237,1
42,691,1292,0
22,2111,3485,0
21,2837,2524,0
38,816,3952,0
27,2369,2899,1
22,902,2341,1
9,1725,2724,0
50,986,2905,0
26,1822,2409,0
22,620,3982,1
40,3469,26,0
46,3616,680,0
11,2149,1898,1
11,1208,2380,1
30,1751,8,1
26,3434,979,1
17,3073,2602,1
20,1911,521,1
33,2396,2429,1
25,2525,3577,0
64,3466,208,0
58,469,1532,0
24,3794,2573,0
35,1230,2189,0
61,1456,4036,1
37,74,2572,1
1,2867,702,1
29,1869,221,0
1,1698,829,0
49,2742,672,1
5,1060,1266,0
4,1204,1676,0
37,3337,3654,0
57,3248,2687,0
16,3505,183,0
5,2328,3765,0
56,2005,2430,1
58,2297,3710,1
7,1886,3160,1
52,992,1784,1
47,1030,1112,0
35,200,3611,0
44,3349,3650,0
64,2067,1388,0
3,792,4036,1
4,2235,773,0
44,130,2611,0
31,1893,2747,0
10,1578,3802,1
29,2637,3797,0
34,2306,763,0
30,513,2323,0
15,2505,400,0
60,3619,2727,0
32,1925,1306,0
17,2835,462,1
25,816,2201,1
61,3725,3464,1
2,994,1709,1
15,3557,3685,0
5,1620,2081,0
43,1990,3868,1
56,1361,3259,0
25,3151,3458,1
32,899,1621,0
34,2710,2734,0
60,1366,2883,0
54,3613,2515,1
4,1424,3609,1
21,925,2087,0
48,3389,778,0
28,2141,2747,0
8,3856,440,0
13,3718,3496,1
28,1157,2004,1
60,1209,1470,1
13,1328,251,1
45,1556,2687,0
37,3342,3796,1
27,1264,3388,1
8,490,969,0
43,1336,2788,1
10,2988,810,0
22,300,1503,1
20,2608,2857,0
13,1707,3152,1
6,2364,1099,0
54,1161,2966,1
40,2619,2973,1
34,1587,4008,0
55,3583,114,0
52,1678,1287,0
2,3120,555,1
44,1106,3120,0
47,1991,2651,0
14,2176,3690,0
36,1622,3176,0
21,4072,1267,0
64,2779,1283,1
57,1808,400,0
13,1024,1935,1
63,4027,1080,1
14,1661,3405,1
33,3434,3541,0
33,2369,878,1
15,3307,2032,0
53,115,1806,0
10,2755,2762,1
5,1728,677,0
50,3058,654,1
16,3205,2307,1
39,2877,2268,1
29,2169,2525,1
50,483,3874,0
60,2423,3719,0
35,64,3128,1
35,2785,2090,1
10,2819,476,1
48,1612,3215,1
40,869,3486,0
59,3382,1319,1
16,3302,3713,0
47,2464,951,1
8,1062,2334,0
62,3370,840,0
63,1861,4033,0
31,1873,1100,0
57,2133,3557,1
52,739,772,0
59,3142,226,1
55,4036,3545,1
7,3187,4048,0
18,32,2821,1
20,1277,797,1
12,1781,3249,1
21,3177,2301,0
55,3000,753,1
60,3048,1695,1
22,668,425,1
4,2611,1674,1
56,97,2656,1
44,546,3968,0
30,3534,2139,1
29,2868,44,0
36,3049,1507,0
17,3690,3731,1
52,1881,2500,0
36,956,3839,0
18,2647,441,0
51,2822,592,0
40,3295,1399,0
52,3685,196,0
61,2855,433,0
14,3701,1238,0
49,2013,4088,1
54,3943,1884,1
50,2112,2676,0
51,2176,1933,0
60,987,404,1
49,1526,1567,1
1,243,2213,0
27,942,957,0
52,932,3841,0
18,425,280,0
30,3240,3848,1
59,1555,2142,0
51,463,3342,1
61,2890,2235,1
15,457,1681,0
61,3294,3228,0
41,2461,2889,1
62,1940,241,0
32,2814,3612,1
19,3099,1244,0
1,3875,3496,0
42,495,1985,0
57,1630,3634,0
44,2698,1301,1
59,1652,3324,0
34,7,3093,1
54,1853,3675,1
43,2846,2210,1
51,1756,3455,1
43,3416,1454,0
38,2815,1505,1
18,979,423,1
4,3834,1494,1
53,3175,365,0
26,1492,1042,1
37,3623,1934,0
55,3270,2398,0
24,965,3696,1
27,3110,2486,0
44,3921,3581,1
11,1886,2838,0
22,1534,4051,1
34,582,4034,0
41,3269,2390,1
61,277,1577,0
59,3457,2247,0
17,1555,3298,1
21,1107,2346,0
28,2838,933,1
64,327,1374,1
51,2031,1798,0
46,389,2502,1
6,2376,1439,0
36,3178,908,0
13,3421,1208,0
24,1276,3377,1
36,2870,2375,0
14,2611,1549,1
5,3888,444,1
46,131,2168,1
17,2673,2150,1
25,3719,1685,1
50,3185,1766,0
56,3495,402,1
48,3087,2294,0
55,692,3385,0
57,2152,1198,0
20,661,2757,1
34,2989,510,0
39,2863,4073,0
30,3907,3708,1
41,2426,3029,1
41,3050,2494,1
38,1218,3518,1
34,3230,1288,0
35,970,587,0
18,3839,2846,0
34,962,2283,0
23,1109,3299,1
33,1697,3591,1
57,709,1724,0
18,701,2524,1
56,920,1089,1
52,3000,239,1
54,1505,123,0
42,2198,235,0
19,4067,2031,1
62,876,1194,0
37,4022,3120,1
50,2074,1113,0
26,1951,188,1
19,3818,62,0
7,2279,114,0
3,676,3513,1
29,1841,3784,1
2,351,1128,1
28,3685,2642,0
1,3260,3477,0
50,3744,1976,0
25,3610,2078,0
19,812,3701,0
11,2935,3089,1
5,1956,1208,1
45,2735,4084,1
42,2755,3363,0
10,3302,3996,1
29,1945,1359,0
41,1577,3312,0
27,2358,2860,0
64,3349,1479,0
4,3453,2451,0
46,8,461,1
57,1378,3048,0
64,53,3657,1
4,949,533,0
64,1113,743,1
45,3899,1865,0
48,1809,1919,0
58,3052,2960,0
38,3772,714,1
11,549,2368,0
40,175,1853,1
19,1010,2221,1
5,1061,3218,1
5,3156,1111,0
11,1201,2011,0
9,1365,775,0
49,3888,3104,1
53,474,916,1
49,798,694,0
43,3934,2307,1
17,3208,2553,1
16,3607,4040,0
36,3893,3631,0
41,3556,579,1
41,3369,3063,1
24,2367,2919,1
46,988,1157,0
26,3355,2275,0
61,2720,405,0
18,2743,610,0
40,2951,1357,1
45,1994,560,0
45,3926,274,1
56,1355,2341,0
46,3249,743,0
63,3619,1364,1
42,543,4054,1
19,3851,3790,1
59,2206,829,1
62,3758,622,0
60,2910,3555,0
11,2305,2444,0
63,2858,1385,1
9,1993,1626,0
41,2448,2758,1
33,1856,3483,0
48,3771,1658,1
43,2604,3300,0
61,2899,2363,1
42,1574,106,0
45,1461,4026,1
37,420,3807,1
57,1911,3219,0
13,2799,3704,1
63,1356,1916,0
1,3167,3210,0
34,3307,67,1
19,2632,555,1
63,1283,2789,1
47,2346,849,1
64,2448,3073,1
16,2469,1044,1
51,2912,189,1
16,2028,1922,1
8,1866,1374,1
2,2191,1379,0
1,1181,2271,0
19,95,1904,0
39,935,2498,0
51,579,1222,1
28,4033,3170,1
56,2178,364,1
20,1573,3391,1
63,2075,1676,0
62,3104,1920,1
44,2204,182,0
9,3617,1470,1
47,3712,2349,1
42,88,3049,0
7,3022,1451,1
64,519,2386,1
44,2271,2052,1
6,498,3931,0
36,2538,473,1
54,554,1925,1
47,547,2253,0
17,1457,1298,0
54,2273,3098,1
43,1151,293,1
62,1541,1640,0
37,1065,315,0
27,3776,2825,1
9,1172,3070,1
63,3775,1932,0
58,1050,1304,1
17,3188,3300,1
58,2132,2479,1
28,1694,3236,0
9,1180,1342,0
62,1226,1898,1
10,1176,3124,0
19,3418,1228,1
13,1432,3145,1
51,992,213,1
24,3790,4002,1
56,3162,826,0
22,2720,2434,0
32,3922,2111,1
44,3660,721,0
8,2924,784,1
1,3849,637,0
39,728,2261,1
64,1589,3405,0
58,2233,2943,1
49,2373,3780,0
60,3216,2614,0
62,39,478,1
12,3727,2142,0
33,1130,1249,0
35,1518,3104,1
25,3381,903,1
48,594,252,1
61,1351,1851,0
43,549,2388,0
55,833,1485,0
43,1640,275,0
46,3281,3683,1
2,1857,633,0
8,3309,500,1
60,1781,2805,0
13,1470,2159,0
25,1709,2596,1
56,2028,2629,1
2,1256,3701,0
7,1053,2260,1
26,560,2101,0
63,3947,1636,0
21,3200,2306,0
23,1200,795,0
35,890,1967,0
32,2519,305,0
48,1275,3743,1
39,878,3854,1
32,515,3199,0
39,1760,3642,0
41,1120,2725,0
47,2121,2905,0
33,2322,2379,0
40,2462,876,0
31,2381,1547,1
21,2292,1192,0
63,1871,2581,1
19,3000,1640,0
43,1394,294,0
25,443,923,1
22,926,3959,1
31,500,1547,0
19,4069,640,0
37,864,300,1
28,1446,2886,1
18,1815,1097,1
41,895,207,0
7,492,1962,0
41,1957,2672,0
11,238,712,1
27,1758,2332,1
5,1512,403,0
10,2501,375,0
46,627,2239,0
18,1644,2186,0
57,2802,1299,1
58,2521,351,1
29,3067,2604,0
46,4022,2433,1
50,2241,3132,0
48,2636,2005,0
59,435,1309,1
3,666,1672,1
8,3368,1667,1
15,3797,3045,1
50,201,2164,0
63,419,3598,0
2,1505,1543,1
64,1634,444,0
40,1550,3415,0
19,923,1212,0
8,610,2228,1
7,468,3977,0
34,1146,2486,0
38,2413,999,1
22,1158,2321,0
35,972,2370,1
50,1007,221,1
21,1811,2095,0
6,455,135,1
34,2998,315,1
53,1949,3018,1
10,1101,1301,0
20,2731,3591,1
33,3621,3662,0
49,2547,1561,1
44,3928,638,1
54,1558,3920,1
40,2771,3339,1
4,49,3838,0
26,2818,880,0
54,3515,2823,0
61,61,62,0
4,3919,3178,0
40,1658,3310,0
23,1188,823,1
44,2111,379,0
29,3594,1569,0
3,51,437,0
29,1050,3417,1
18,562,1392,1
28,1556,23,0
56,1889,1180,0
20,2537,3842,0
23,794,2208,1
52,3594,2876,1
37,992,943,0
30,3111,459,0
39,958,2351,1
58,888,3119,0
41,771,2433,1
5,430,1312,1
11,1948,2100,1
53,2480,1838,1
11,1759,1683,0
59,480,273,0
14,2125,1539,1
55,3287,1659,1
49,1041,584,0
5,1871,434,1
24,641,548,0
25,1553,2671,0
10,3850,2302,1
39,98,3564,0
12,3115,1606,1
36,1204,2292,1
35,1426,1491,1
43,3081,692,1
20,3956,3809,1
30,3233,3267,0
2,3280,702,0
23,137,300,0
59,3259,2891,1
49,1086,218,1
51,2732,3743,1
18,2444,3189,1
37,2186,723,0
57,1531,2037,1
48,62,1522,0
13,2369,982,0
43,2066,3390,1
33,1118,3952,0
38,3478,425,0
49,584,4075,1
26,2990,849,1
30,135,1297,1
16,1260,444,1
29,3200,3492,1
62,3238,1779,0
20,739,3929,1
33,194,716,1
7,2951,81,1
25,3628,3169,0
61,2349,1189,1
63,1607,3893,0
63,3159,2477,1
43,1907,3358,0
60,810,3733,1
42,461,2723,1
44,755,1882,1
58,2318,160,0
45,632,1171,1
57,3121,3902,0
54,246,1066,1
20,1285,127,1
50,1987,3685,0
24,3162,2912,0
45,2797,3775,0
16,2743,2306,0
23,2597,1591,0
58,2082,3961,0
27,3039,16,1
14,557,491,0
62,4046,242,1
35,3649,2590,0
49,3178,1306,1
21,649,283,1
7,3931,1820,0
34,572,3183,0
50,1585,530,0
35,3223,1564,1
49,2027,991,1
21,959,809,1
32,1715,2262,1
45,1933,475,0
40,670,4045,0
12,1281,3790,1
62,606,2752,1
39,1703,3884,0
34,546,1055,1
26,1706,1629,1
19,3980,539,0
14,1237,296,0
25,682,2300,1
20,284,2575,1
29,1555,3901,1
54,2667,120,0
15,1334,1527,0
47,3053,3937,1
28,2738,715,0
22,1755,3411,1
64,2942,2753,1
31,2732,1233,0
55,2131,1553,0
52,1517,1833,0
25,3625,3246,1
10,3129,955,1
55,2233,3155,1
14,3453,2338,1
31,2505,216,0
26,2552,3281,1
42,2136,3692,1
7,569,3485,0
52,2288,2513,1
30,2439,1644,1
16,2738,717,0
19,838,1878,1
25,2747,692,1
58,1522,2495,0
56,3021,2943,0
9,2217,617,0
11,1779,2186,0
41,2875,2365,0
15,2552,1839,0
15,2850,1799,1
46,694,1915,0
47,2315,3187,1
28,3555,73,1
33,3003,1856,1
44,3423,2885,1
28,550,1840,1
59,1207,2178,1
47,2674,817,1
11,2540,3131,0
37,2692,1314,1
61,2911,1716,1
31,382,1521,0
48,1554,3489,0
52,2498,1329,0
30,1943,565,1
44,1580,1456,1
58,3696,3398,0
49,706,1269,1
60,1729,1949,1
23,3482,1405,0
60,1618,1596,0
36,387,2010,1
20,478,3104,1
54,1841,2508,0
45,2327,3352,0
34,1030,220,1
49,3380,2980,0
61,2974,547,0
51,1499,1571,0
22,3404,3187,0
1,3086,904,1
54,2089,71,1
27,2736,2812,0
63,3605,532,0
18,164,856,0
47,974,912,0
44,874,3364,1
24,1672,2482,1
7,3794,1713,1
43,191,2319,0
54,130,2592,1
57,2564,181,0
14,3139,26,1
58,744,3782,0
7,1149,618,0
59,265,2939,0
6,1329,2638,1
6,2253,1888,1
34,213,2450,1
52,1556,2821,1
60,2048,2826,0
32,2674,664,0
44,3461,374,0
17,1249,1840,1
33,901,3803,1
35,793,189,1
56,3469,3680,1
15,3525,1575,1
38,1386,473,1
39,2556,3530,0
31,3580,3884,0
64,97,1007,0
11,3326,1791,0
19,2295,821,1
6,2705,2760,0
63,2042,1585,1
30,3777,556,0
16,4069,2049,1
15,2333,3789,1
7,2126,3992,0
17,2598,1842,1
31,4062,2255,0
7,1708,1443,1
8,2553,675,1
3,1962,3169,0
37,1360,1093,0
47,2505,1426,0
3,640,2642,1
12,2535,3759,0
36,1419,2395,1
63,88,3761,0
43,773,2240,1
15,201,1236,0
51,1073,2793,1
35,1480,3669,1
36,3146,2593,0
14,2445,2762,0
23,1739,888,0
25,1664,2975,1
15,1500,702,0
6,2611,3607,0
10,1907,56,0
14,2351,3326,0
10,3045,3701,1
22,2763,328,0
32,2711,2309,0
39,1744,3166,0
10,3191,3539,0
10,3972,1447,1
22,3909,1443,0
7,631,229,0
39,821,3492,1
27,790,1910,1
49,949,626,1
50,346,3597,1
7,3365,2986,0
21,3290,299,0
33,2350,2132,1
33,1797,2770,1
54,1917,2028,0
15,4049,2905,1
6,2503,397,1
31,1609,4030,1
31,3424,888,0
8,1838,3601,0
49,2250,1360,0
38,1620,1792,0
20,333,2437,1
29,2819,1653,1
46,3055,4040,1
46,2965,528,0
39,3819,3123,1
33,3957,2634,1
1,2736,2735,0
29,141,3109,1
22,679,259,1
53,783,593,0
60,1495,1982,0
35,1221,1626,1
12,2852,720,1
41,4016,1812,0
52,2677,3000,1
9,3883,1813,0
1,1194,381,1
4,3189,1903,1
58,1036,1248,0
27,410,2989,0
47,2194,2474,0
63,2831,3501,0
25,999,919,1
39,2091,742,1
22,736,1404,0
19,1945,1784,1
62,1055,3882,1
48,3329,1169,1
5,2225,1435,0
15,1065,3542,0
57,12,2551,1
4,3992,1622,1
28,3881,854,1
23,1180,3772,1
63,175,602,1
25,1603,650,0
10,2899,1506,1
52,2073,3847,1
33,116,3161,1
10,185,2719,0
12,3758,3186,1
23,2504,3892,1
50,1962,2400,0
41,2570,94,1
42,3258,3614,1
38,1694,153,1
51,2189,2738,1
27,3630,3321,1
28,3290,1025,0
29,1272,2289,1
14,3322,973,1
21,44,2409,0
20,3452,3392,1
33,865,325,1
19,3094,2534,1
14,4045,2898,0
56,86,181,1
61,535,2328,1
61,2085,2143,0
42,1838,1796,1
15,757,1363,1
17,2950,270,1
59,210,2915,1
3,3030,3884,1
14,1401,1415,0
26,3859,3959,1
44,958,2147,1
44,1677,664,0
22,178,642,0
2,908,3074,0
55,557,294,0
21,1108,1898,0
44,916,1068,0
64,2705,125,0
57,3971,690,0
47,2208,54,1
8,2141,3901,1
9,1805,3643,1
64,3603,3211,1
48,2496,940,0
36,3808,1312,1
55,3988,197,1
43,223,1386,0
56,2212,2129,0
59,54,1993,1
47,2887,1729,0
54,1548,3799,0
7,3085,1966,0
53,733,782,1
14,1563,3876,0
17,3370,3946,1
8,1250,2561,1
43,1205,3572,1
53,2865,2205,0
36,1796,1955,0
36,1955,1540,0
4,1140,2665,1
37,3542,712,1
18,1061,981,0
63,880,318,0
11,2309,2663,0
63,806,401,1
34,3963,3566,1
17,346,2026,1
53,2098,3474,1
42,3276,1125,0
41,2417,3033,1
20,2203,3874,1
55,2000,3268,0
3,1652,92,0
15,3157,50,1
24,2261,2234,1
30,1152,1297,1
32,2156,2345,1
34,2251,1077,1
13,2135,3146,1
22,45,2719,0
47,3144,916,1
56,2909,3412,1
10,1389,3469,1
10,3854,1367,0
39,2164,436,1
54,2880,92,1
5,3136,2604,0
9,2827,1621,0
52,143,586,0
36,3992,2313,1
54,377,2659,0
54,2160,1595,1
20,3853,81,1
2,2186,135,1
63,1009,2781,1
42,1780,2376,0
32,3674,1013,1
40,3722,742,0
59,1234,848,1
47,2640,2636,0
39,3184,3414,1
34,888,284,0
38,1333,2594,0
42,1915,3457,0
25,3447,765,0
4,1274,3931,0
51,450,2197,1
6,3021,241,1
17,273,3015,0
19,980,1032,0
54,2051,724,0
2,3000,1503,1
20,7,3631,0
63,146,1161,1
38,1709,2463,0
64,3756,2488,1
47,1125,591,0
9,1207,781,0
18,597,312,1
41,4,3527,0
27,3397,11,1
24,3086,900,1
16,1585,3240,0
42,3820,3299,1
50,3936,456,0
11,3521,346,1
61,518,2830,0
14,1126,835,1
61,1465,1800,1
20,813,2112,0
14,3502,2136,1
45,347,1305,1
62,1509,3060,1
12,3111,174,1
17,541,3261,0
37,2979,2879,0
45,1605,3224,0
18,3090,2961,0
27,4091,774,0
7,3554,1753,1
39,1939,121,1
4,3934,3205,1
43,260,290,0
48,3158,194,1
57,2790,3163,0
44,740,1630,1
32,1712,62,0
44,2558,81,0
19,635,3738,0
56,3950,289,0
27,1553,573,0
13,355,3684,1
9,1959,3635,0
59,3446,3320,0
50,1733,4020,0
30,400,2432,0
54,2562,2760,0
51,322,939,1
24,996,3562,1
24,3188,1259,1
30,567,1720,0
18,3811,1910,1
53,255,928,1
34,2315,3288,0
61,1496,3973,1
8,2699,1178,1
35,3911,2594,1
55,1858,81,1
64,1782,3028,1
52,3970,1610,0
46,2247,1793,1
58,903,831,0
45,1170,2266,0
51,2720,1493,1
42,4065,1074,0
58,2982,2165,1
63,2683,3683,1
54,3944,978,1
27,2859,376,0
36,2623,2418,1
32,2917,207,1
8,3840,371,0
55,4033,3005,1
5,241,3205,0
19,633,2387,0
52,1728,1841,0
10,3448,1863,0
11,1231,3459,1
45,3065,3456,0
9,1240,2872,1
25,2294,1193,1
22,554,3560,1
62,121,176,1
41,287,3745,1
40,231,730,1
8,194,3550,0
52,1301,1450,1
19,644,1854,0
46,1009,309,1
62,3619,3513,1
61,3829,3087,0
37,1468,3519,0
24,3158,2801,1
30,237,3299,0
14,2632,2105,0
20,1736,245,0
47,2639,1064,1
49,499,1628,0
58,992,4039,1
55,3687,3175,1
13,3465,2962,1
30,1346,2381,1
36,2404,1667,1
39,1366,323,0
36,563,2363,0
39,162,2323,0
18,2341,726,1
9,2517,1329,0
62,1247,3975,1
14,3321,2083,0
28,3000,2471,1
22,369,1117,1
37,349,1415,0
2,1309,1778,1
42,3908,3951,1
30,1416,1774,0
54,2599,962,1
26,212,1934,0
62,1771,1074,0
18,1945,1480,0
60,57,1414,1
25,1487,1525,1
5,2708,3795,1
10,345,3555,0
36,3048,944,0
13,3373,1599,0
24,3520,2174,0
16,1051,2758,0
25,497,759,1
44,495,1687,1
62,1326,1167,1
33,1559,2375,1
57,844,807,0
13,1788,1737,0
13,3955,2261,1
47,2972,2361,0
43,4043,412,1
46,2388,938,0
33,2392,639,1
5,3217,743,1
61,1746,439,0
9,2505,618,1
47,1046,1362,1
11,2277,2425,1
21,487,86,0
53,1130,3366,0
53,30,2080,0
51,3171,2694,0
23,3871,2,0
5,2510,3360,1
63,2,3232,1
27,1164,1397,0
20,1839,3832,1
62,241,949,0
26,2217,240,0
48,1827,2784,0
61,348,631,1
27,2538,1185,1
12,1446,679,0
39,608,838,0
34,1575,1065,0
59,811,1897,0
53,1503,2543,0
2,1202,4014,0
38,2679,552,1
7,181,1362,1
58,2848,2938,1
44,3884,1155,1
12,1907,2660,1
54,811,2892,1
26,826,2202,1
26,1001,3483,0
50,297,4077,0
33,2148,3143,0
13,3666,1590,0
35,2952,3718,1
24,383,3976,1
45,2521,308,0
53,671,265,0
22,2231,2310,1
43,2741,1484,1
46,126,2721,0
28,1501,128,1
56,1076,2265,1
5,16,4068,0
33,401,1036,1
40,1159,602,0
57,1731,1422,0
16,417,3173,1
14,2006,2440,0
14,3325,648,0
8,1365,1121,0
3,1824,297,0
36,1771,2121,0
57,2788,3513,0
26,3221,2578,1
17,3885,3580,0
45,1561,3967,1
51,178,1938,1
58,3506,2492,0
4,3380,3798,0
60,3233,1457,1
58,2374,613,0
15,1487,215,1
24,714,670,1
42,1695,1432,0
55,3385,3748,0
53,329,2459,0
33,2879,1423,0
42,1049,1403,0
55,240,2962,0
52,3888,3911,1
31,36,2961,0
16,901,509,1
33,2006,3548,1
46,3273,103,0
38,1632,2343,0
12,1018,1632,1
60,85,85,0
47,3378,604,1
63,645,1945,1
23,2251,3653,0
11,2447,1342,0
42,2893,3991,1
46,1355,455,0
46,3197,2579,1
47,664,378,1
33,4092,2853,0
59,3536,3535,1
43,643,1099,0
27,2794,3021,1
60,2454,1296,0
55,2079,262,0
31,2387,764,1
47,550,995,1
21,2100,514,0
24,74,1930,0
3,386,1721,1
26,1875,2552,1
8,4041,2597,1
53,4013,51,1
33,2018,2907,1
44,3893,1146,0
21,481,1927,0
58,413,400,0
38,2463,2030,0
33,1874,3165,0
7,3969,1078,1
7,175,2884,1
60,1549,1461,0
8,2360,1845,0
52,788,422,0
19,2420,2597,1
31,1750,2399,1
23,1418,1348,1
23,234,252,1
15,1344,186,1
10,624,1126,1
56,2943,451,0
59,2394,306,1
27,2145,3654,1
42,43,2257,1
15,2119,2730,1
57,1490,1779,1
17,1308,1408,1
15,2024,3037,1
37,240,409,0
1,1949,1627,0
28,3611,1668,1
1,4035,3450,0
15,2522,456,0
57,318,3831,1
57,1295,188,1
44,426,3558,1
60,2404,1367,0
25,893,994,0
48,1812,3982,0
59,2286,2990,1
32,578,901,1
44,2049,118,0
5,1532,916,0
43,2709,3902,0
20,281,2529,0
14,2596,2921,1
28,524,283,0
37,2389,1227,0
30,649,560,0
53,1146,591,0
23,3487,1651,1
21,3680,3373,0
57,1997,704,0
16,2268,2993,1
18,3535,11,1
2,2047,1279,0
20,2518,1971,0
48,901,3337,0
6,3327,13,1
23,2651,68,1
5,2599,999,1
9,2468,1820,0
24,383,3765,1
57,739,3902,1
16,2780,4041,1
7,3905,3849,0
36,1368,2314,1
40,3872,2091,1
43,3221,2085,0
17,3947,856,1
51,1892,592,0
64,3183,1682,1
31,2509,1141,0
33,1520,2351,1
41,1812,2234,0
3,3107,3893,1
