batchsize,matsize,channels_in,poolsize,padding,strides
63,299,24,5,0,2
5,292,2,2,1,4
40,309,17,1,1,3
34,42,129,6,1,2
46,316,24,3,0,4
23,72,45,1,0,3
63,329,24,7,0,1
10,78,31,5,0,1
64,100,77,3,1,1
10,346,3,7,1,3
50,198,17,6,1,1
19,211,18,1,1,2
12,213,45,2,0,4
15,332,25,6,0,1
37,63,24,4,1,1
55,253,31,6,1,3
51,109,52,1,0,4
51,259,31,7,1,1
38,198,46,4,1,2
10,379,19,4,0,3
21,181,42,1,0,4
43,392,20,2,0,1
55,200,34,3,0,2
50,410,15,6,0,2
13,266,11,4,1,1
30,268,31,1,0,3
35,292,4,1,0,4
10,447,16,1,1,2
62,340,1,3,0,3
32,321,7,1,0,3
22,116,78,6,0,2
61,168,31,2,0,1
27,218,21,6,0,4
41,453,4,7,0,3
37,374,12,4,1,3
2,120,9,7,1,2
34,28,167,6,1,3
15,31,31,3,1,3
54,389,24,3,0,4
48,16,601,7,1,1
55,42,151,2,1,2
25,364,26,1,0,3
15,172,43,6,0,2
36,329,6,1,0,2
62,274,1,5,1,2
36,393,11,6,1,2
14,92,96,3,1,1
1,63,113,7,0,1
57,109,75,1,1,2
36,66,145,5,0,4
50,369,8,3,0,2
8,75,132,3,0,2
27,474,6,4,1,4
41,71,13,7,1,1
61,47,138,5,1,2
50,304,2,2,0,1
56,17,521,3,1,3
33,433,6,4,1,4
29,507,15,6,0,4
44,431,18,1,1,3
32,111,31,7,1,2
13,274,24,1,1,1
61,227,31,3,0,4
59,474,7,3,0,1
56,90,86,1,0,2
25,206,39,7,1,1
29,451,20,4,0,3
10,211,14,6,0,2
63,63,101,5,0,4
57,361,13,1,1,1
50,329,4,6,0,1
30,2,1937,2,0,3
42,418,5,7,0,3
51,507,3,4,1,4
52,367,5,6,0,1
2,464,14,3,0,1
64,302,2,7,1,4
39,291,28,3,0,2
18,455,3,3,0,3
51,456,11,6,1,2
