batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias
1,72,1,90,31,3,1,0,0
1,72,6,59,92,2,1,0,0
1,73,1,125,24,2,0,1,1
1,73,1,134,62,2,0,0,1
1,73,3,17,25,4,0,1,0
1,73,6,87,3,3,1,0,1
1,74,2,108,114,2,0,0,1
1,74,4,14,133,2,0,1,1
1,74,4,102,104,3,1,1,1
1,75,5,49,113,4,0,0,1
1,76,6,52,60,4,0,1,1
1,76,6,97,93,3,1,0,0
1,77,1,2,13,2,0,0,0
1,77,3,107,12,3,1,1,0
1,77,4,21,63,4,0,0,1
1,77,4,93,61,4,1,1,1
1,77,4,95,22,3,0,1,1
1,77,5,116,78,4,1,0,0
1,77,7,29,81,2,1,0,1
1,77,7,46,40,1,0,0,1
1,78,1,80,56,3,0,0,0
1,79,2,108,24,1,1,0,0
1,79,4,72,46,1,1,1,1
1,79,5,125,65,2,1,1,1
1,80,3,92,23,3,0,0,0
1,80,3,101,38,2,0,1,0
1,80,7,63,5,1,0,0,1
1,80,7,75,17,1,0,0,0
1,81,2,67,51,3,0,1,0
1,81,3,70,32,4,0,1,0
1,81,5,13,112,4,1,0,0
1,82,2,5,86,1,0,1,0
1,82,2,34,35,2,1,1,1
1,82,2,45,66,3,1,1,0
1,82,3,10,57,2,0,1,1
1,84,1,47,84,2,1,1,0
1,84,7,50,23,4,1,1,1
1,85,3,78,13,1,1,1,0
1,85,5,90,80,3,1,1,1
1,85,5,107,82,3,0,1,0
1,85,6,10,14,3,0,1,0
1,85,6,82,52,1,1,0,1
1,85,7,30,16,1,1,1,1
1,86,5,7,32,3,0,0,1
1,86,7,108,93,3,0,1,0
1,87,4,62,35,3,0,1,0
1,87,4,87,87,3,0,0,0
1,87,5,71,52,3,0,1,1
1,87,5,92,29,2,1,1,1
1,88,2,45,15,4,0,0,0
1,88,2,53,88,2,0,1,1
1,88,2,105,84,4,1,1,0
1,88,3,23,100,1,0,0,1
1,88,3,67,69,4,0,0,1
1,88,4,31,54,3,0,1,1
1,88,5,87,93,1,1,0,0
1,88,7,3,16,4,0,1,1
1,89,7,106,58,2,1,0,1
1,89,7,108,14,3,0,0,1
1,90,4,58,91,2,1,1,1
1,90,4,69,23,1,1,1,1
1,90,4,97,45,1,0,1,1
1,91,1,46,89,2,0,0,0
1,91,3,53,56,1,0,0,1
1,91,3,76,91,2,0,0,0
1,91,4,10,34,1,1,1,1
1,91,4,75,61,3,1,1,0
1,91,5,37,83,3,0,1,0
1,91,5,97,60,3,0,1,1
1,92,1,20,97,1,0,1,0
1,92,7,89,89,2,0,0,1
1,93,2,34,6,3,0,1,1
1,93,6,95,18,2,0,0,0
1,94,5,9,21,4,1,1,1
1,94,6,17,61,2,0,1,1
1,95,1,24,92,4,1,0,0
1,95,3,23,8,2,0,1,1
1,95,6,23,12,1,0,1,0
1,95,6,64,87,1,1,0,1
1,97,1,79,62,1,1,0,1
1,97,3,28,62,3,1,0,1
1,97,5,89,100,4,0,1,1
1,97,6,8,57,1,1,1,1
1,98,2,94,96,1,1,1,1
1,98,3,52,10,2,0,0,0
1,98,3,94,39,3,0,1,0
1,98,4,64,72,4,0,0,0
1,98,6,62,98,3,1,1,0
1,99,3,47,54,4,0,0,0
1,99,5,91,33,2,1,1,0
1,100,1,11,94,4,1,1,0
1,101,4,41,17,4,0,0,1
1,101,5,71,81,1,0,1,0
1,101,6,7,65,2,1,1,1
1,102,2,83,12,4,1,0,0
1,102,2,87,53,1,0,1,0
1,102,4,19,8,2,1,1,0
1,103,6,12,2,1,1,1,0
1,104,1,92,48,4,0,0,1
1,104,6,76,66,2,0,0,1
1,104,7,16,8,3,0,0,1
1,105,4,49,25,4,0,0,0
1,105,7,69,65,4,0,0,0
1,106,3,72,48,1,0,0,0
1,106,4,82,10,4,0,0,1
1,106,4,83,18,4,1,1,0
1,106,5,28,27,2,0,1,1
1,106,7,20,57,2,0,1,0
1,107,1,89,24,4,1,1,1
1,107,1,91,91,1,0,1,0
1,107,2,73,87,3,1,0,1
1,107,4,16,30,4,0,1,1
1,107,5,44,25,1,1,1,1
1,107,5,73,65,3,0,1,1
1,107,5,85,47,4,0,1,1
1,107,6,18,85,3,0,1,1
1,107,6,57,20,2,0,1,1
1,108,4,87,35,3,0,1,0
1,109,1,69,58,1,1,0,1
1,109,5,21,26,3,1,1,0
1,109,7,49,67,1,1,1,1
1,110,1,67,70,2,1,0,0
1,111,2,77,45,3,1,0,0
1,111,3,20,5,4,1,1,1
1,111,3,73,60,2,1,0,1
1,111,4,77,1,3,0,0,1
1,111,6,79,25,1,0,0,1
1,111,7,32,66,3,1,0,0
1,112,1,56,85,3,0,1,0
1,112,3,34,23,4,1,0,0
1,112,4,8,67,2,1,0,0
1,112,4,10,39,4,1,0,0
1,112,5,44,21,3,0,1,0
1,112,5,86,85,1,1,1,1
1,112,6,46,6,3,0,1,1
1,112,7,14,67,2,0,1,0
1,112,7,61,40,1,0,1,1
1,113,5,19,9,3,1,1,0
1,113,6,32,47,4,1,1,1
1,114,2,25,85,4,0,0,1
1,114,2,49,10,4,0,1,1
1,114,3,64,16,3,1,1,1
1,114,6,4,85,1,0,0,0
1,114,7,68,19,3,0,1,0
1,115,1,43,72,4,1,0,1
1,115,3,69,13,2,1,1,0
1,116,2,70,4,1,1,1,0
1,116,7,25,3,2,0,0,1
1,118,1,44,3,1,0,1,1
1,118,5,11,80,1,1,0,0
1,119,2,48,15,1,0,1,1
1,119,3,54,68,1,0,0,0
1,119,4,63,20,3,0,1,0
1,119,6,35,24,2,1,0,0
1,119,6,37,65,2,0,0,0
1,120,6,73,19,1,1,0,0
1,121,2,1,5,2,0,1,1
1,121,2,42,76,3,1,0,1
1,121,2,61,12,3,0,0,1
1,121,6,7,12,1,1,0,0
1,122,3,24,53,2,1,1,0
1,122,3,71,73,2,1,0,1
1,122,4,46,43,2,1,0,1
1,122,5,9,56,3,1,1,1
1,123,1,62,16,2,0,1,1
1,123,2,59,6,2,0,0,1
1,123,3,51,42,4,1,0,1
1,123,3,62,72,2,1,1,0
1,123,3,71,21,1,0,0,0
1,123,3,72,39,1,1,0,0
1,123,4,46,23,4,1,0,0
1,123,7,29,7,4,1,1,0
1,123,7,68,79,4,1,1,1
1,125,3,2,47,4,1,0,1
1,125,6,67,35,1,1,0,1
1,126,2,1,72,1,1,0,1
1,126,3,24,27,4,1,1,0
1,127,1,24,9,1,1,1,0
1,127,6,4,77,3,1,1,0
1,127,6,10,72,3,1,0,1
1,127,6,35,40,4,0,0,1
1,128,3,28,28,4,0,0,0
1,128,4,45,14,4,0,0,1
1,128,7,21,39,1,1,1,0
1,129,2,60,68,3,0,0,1
1,129,2,73,57,2,0,1,0
1,129,3,76,31,3,1,1,1
1,129,4,40,9,2,1,0,0
1,130,3,56,74,2,1,0,1
1,130,5,27,21,1,1,1,1
1,131,2,69,33,1,0,1,0
1,131,3,39,22,2,0,0,1
1,131,5,64,64,3,1,1,0
1,132,1,57,14,4,0,1,1
1,133,1,21,26,2,0,0,1
1,133,3,47,55,4,0,0,0
1,133,6,32,64,4,0,0,1
1,133,7,19,19,3,0,0,0
1,134,1,71,55,2,0,1,1
1,134,4,63,24,4,0,1,1
1,134,4,72,19,4,0,1,0
1,134,5,25,24,2,1,0,1
1,134,6,50,53,2,1,0,1
1,135,3,44,2,2,1,0,1
1,135,5,14,62,2,0,0,1
1,135,5,55,33,4,1,1,1
1,136,3,63,6,2,0,0,0
1,136,7,64,31,3,0,1,0
1,137,3,32,56,1,1,0,0
1,137,5,20,70,4,0,1,1
1,137,5,48,64,2,1,0,1
1,138,2,57,19,4,1,1,0
1,138,4,49,5,4,1,0,1
1,138,4,51,38,2,0,1,0
1,138,5,35,34,4,1,1,0
1,139,2,11,43,2,1,0,1
1,139,5,43,36,1,0,0,0
1,139,7,2,13,1,0,0,0
1,139,7,25,67,1,0,0,0
1,140,5,19,3,1,0,0,1
1,140,5,58,47,1,1,1,1
1,141,2,35,60,4,0,1,1
1,141,6,21,35,2,1,1,0
1,141,6,62,23,4,0,1,0
1,141,7,55,59,3,1,0,0
1,142,1,47,22,3,0,0,1
1,142,3,67,46,1,1,0,1
1,142,4,15,63,4,1,1,1
1,142,4,34,68,1,0,1,0
1,143,1,33,29,1,1,0,1
1,143,2,22,31,2,1,0,1
1,143,2,25,54,4,1,0,0
1,143,7,5,54,1,1,1,0
1,143,7,65,3,4,0,1,0
1,144,1,54,32,3,0,1,1
1,144,4,66,14,1,1,0,0
1,145,2,8,45,2,0,1,0
1,145,3,25,58,3,0,0,0
1,145,4,2,16,2,1,0,1
1,145,5,32,54,2,0,1,1
1,145,6,66,35,2,0,1,1
1,146,4,42,27,4,1,0,1
1,146,5,37,32,4,1,1,0
1,146,6,4,18,4,1,0,0
1,147,1,24,20,3,0,1,1
1,147,2,28,52,3,0,1,1
1,147,2,61,54,3,1,1,1
1,147,6,37,62,2,1,1,1
1,147,6,57,15,2,0,0,0
1,147,7,19,27,1,1,1,0
1,147,7,28,8,4,0,1,1
1,148,4,63,52,2,1,0,0
1,148,6,9,40,4,1,0,0
1,149,3,3,28,1,1,0,0
1,149,3,48,20,4,0,1,1
1,149,5,29,3,3,0,1,0
1,149,6,34,25,4,1,0,1
1,149,7,19,7,3,1,1,1
1,149,7,52,35,2,0,1,1
1,150,2,24,54,3,0,1,0
1,150,4,43,31,1,1,1,1
1,150,4,47,18,1,0,1,1
1,151,1,14,23,2,0,1,0
1,151,1,20,30,1,0,1,1
1,151,3,5,36,1,0,1,1
1,151,3,10,62,1,0,1,0
1,151,3,46,30,1,0,1,0
1,151,3,55,36,2,1,1,1
1,152,2,5,36,4,0,0,0
1,153,1,61,28,3,0,0,0
1,154,4,32,25,4,1,0,0
1,154,7,23,31,4,1,1,0
1,155,1,54,6,4,1,1,1
1,155,2,49,12,4,1,0,1
1,156,2,10,1,3,1,0,0
1,156,2,23,39,3,0,0,1
1,156,3,30,26,3,0,0,1
1,156,3,31,2,3,0,0,0
1,156,4,12,36,3,1,0,0
1,156,4,24,16,4,1,1,0
1,156,5,2,29,4,0,1,0
1,156,7,22,18,2,1,1,1
1,157,2,25,48,4,0,1,1
1,157,3,30,30,2,0,0,1
1,157,6,19,48,1,1,1,0
1,158,4,44,11,2,0,0,0
1,158,5,36,59,4,0,0,0
1,158,7,2,2,2,0,1,1
1,158,7,39,54,4,1,0,1
1,158,7,55,60,4,0,0,0
1,159,6,16,38,1,1,0,1
1,159,7,47,36,1,1,1,1
1,160,5,58,18,3,1,0,0
1,160,7,32,5,3,0,0,0
1,161,2,50,38,1,0,1,1
1,161,2,57,41,2,0,1,0
1,161,6,37,40,1,0,1,0
1,161,7,12,44,3,1,0,0
1,161,7,28,28,3,1,1,0
1,162,2,29,1,3,0,1,1
1,162,5,52,7,1,1,1,0
1,162,6,3,38,3,1,0,0
1,162,6,11,51,4,0,0,0
1,162,7,20,10,4,1,0,0
1,163,2,21,43,4,0,0,1
1,163,4,55,37,4,0,1,1
1,163,6,55,37,2,0,0,0
1,163,7,31,46,4,1,1,0
1,164,1,26,33,2,1,0,1
1,164,2,18,24,1,0,1,0
1,164,6,14,39,1,0,1,0
1,165,4,45,4,3,0,0,0
1,165,7,42,22,3,0,1,0
1,166,3,13,29,3,0,1,1
1,167,1,44,9,2,1,1,1
1,167,3,34,15,2,0,0,1
1,167,5,41,9,1,1,1,1
1,167,7,16,43,3,0,1,0
1,168,3,57,38,3,0,0,1
1,168,4,44,54,3,1,0,1
1,168,6,22,11,4,1,0,1
1,169,4,5,33,2,0,0,0
1,169,6,52,17,4,1,0,0
1,170,2,47,27,2,1,1,0
1,171,1,10,50,2,0,1,1
1,172,2,19,17,1,0,0,0
1,172,2,54,34,4,1,1,0
1,172,3,1,49,3,1,0,0
1,172,4,15,22,2,0,1,0
1,172,5,42,25,3,0,0,1
1,172,6,15,43,2,0,1,1
1,172,7,55,13,1,0,0,0
1,173,6,4,12,2,1,0,0
1,173,7,20,21,1,0,0,0
1,173,7,54,8,2,0,0,1
1,174,4,5,15,4,0,0,0
1,174,4,48,18,3,0,0,1
1,174,7,3,40,3,1,1,1
1,175,4,48,8,3,0,1,0
1,175,6,13,16,3,1,0,0
1,175,7,5,5,1,1,0,1
1,176,1,11,26,2,1,0,1
1,176,3,42,15,3,0,1,1
1,176,4,29,24,4,1,1,1
1,176,4,48,26,3,1,0,1
1,177,3,9,14,4,1,1,0
1,177,3,11,51,2,0,0,0
1,177,7,33,14,4,0,0,1
1,178,4,38,55,1,0,0,0
1,178,6,34,43,4,1,1,1
1,178,7,2,35,1,0,1,0
1,179,1,19,5,1,1,1,0
1,179,2,33,22,3,0,0,1
1,179,3,31,27,1,1,1,0
1,179,7,25,15,1,1,1,1
1,180,2,16,9,1,0,1,0
1,180,5,20,20,4,0,0,0
1,181,4,26,4,2,1,1,0
1,181,6,35,31,2,0,1,0
1,182,4,5,49,4,0,0,0
1,182,7,16,13,2,0,1,0
1,183,1,28,37,2,0,1,1
1,183,5,8,8,2,1,1,0
1,186,5,13,18,3,1,1,0
1,188,1,26,4,3,0,0,0
1,188,3,36,17,2,1,0,1
1,188,3,36,23,1,0,0,0
1,188,4,45,27,4,1,0,1
1,188,5,32,36,3,0,0,1
1,189,2,34,21,1,0,0,1
1,189,7,42,51,3,1,0,0
1,190,3,27,42,1,1,0,0
1,190,3,47,35,3,1,0,1
1,191,1,1,9,4,0,0,1
1,191,3,45,34,3,0,1,1
1,191,4,37,36,2,0,0,1
1,191,6,43,18,4,1,1,1
1,192,2,14,30,2,0,0,0
1,192,3,45,13,2,1,1,0
1,192,5,18,50,4,0,1,0
1,192,7,14,9,4,0,0,1
1,193,2,21,28,3,0,0,1
1,193,3,2,37,1,1,1,1
1,193,3,31,30,4,0,1,1
1,193,4,3,36,3,1,1,1
1,193,6,17,40,3,0,0,0
1,194,3,27,14,1,0,1,0
1,194,5,1,20,3,1,1,1
1,194,7,11,47,2,1,0,1
1,195,1,34,43,4,0,0,0
1,195,1,45,21,4,0,1,0
1,195,2,39,29,4,1,1,1
1,195,4,13,21,4,0,0,0
1,195,4,26,47,3,0,1,0
1,196,2,43,48,1,0,0,1
1,197,1,31,6,3,1,0,1
1,197,2,28,8,1,1,1,1
1,197,4,5,48,3,0,0,1
1,197,4,47,1,3,0,1,1
1,198,2,3,15,3,1,1,0
1,198,2,26,23,2,1,0,1
1,198,3,4,38,2,0,1,0
1,198,4,3,28,1,1,1,0
1,198,4,13,15,3,1,0,0
1,199,2,32,31,4,1,1,0
1,199,5,39,3,4,0,1,1
1,199,6,9,21,4,1,0,0
1,199,7,42,14,1,1,1,1
1,200,2,12,11,4,1,1,1
1,200,4,6,43,2,0,1,0
1,200,5,9,9,1,0,1,0
1,201,3,16,39,4,0,1,1
1,202,2,41,18,2,0,1,1
1,202,7,11,3,1,0,0,1
1,202,7,15,39,3,0,0,1
1,203,4,30,21,2,0,1,1
1,203,7,27,44,3,1,1,0
1,204,3,16,3,3,1,1,1
1,205,4,25,5,2,1,1,1
1,205,7,4,3,2,1,1,0
1,206,5,11,3,1,0,0,0
1,206,7,37,10,2,0,1,1
1,207,6,46,21,3,1,0,0
1,207,7,9,34,4,0,0,0
1,207,7,25,47,3,1,0,1
1,207,7,44,2,3,0,0,0
1,208,1,20,13,1,1,0,0
1,208,1,30,46,4,1,0,1
1,208,4,37,45,2,1,1,1
1,208,5,22,38,4,0,1,0
1,208,5,37,10,1,1,1,1
1,209,2,32,46,1,1,0,0
1,209,5,11,6,3,1,0,0
1,209,6,19,39,2,1,0,0
1,210,2,39,35,4,1,1,0
1,210,4,1,42,4,1,1,0
1,210,7,44,45,1,0,0,1
1,211,1,20,32,1,0,0,0
1,211,2,29,18,4,0,1,0
1,211,2,41,21,1,0,0,0
1,212,2,32,3,1,1,0,0
1,212,3,15,32,2,0,1,1
1,212,3,33,31,3,1,0,1
1,212,6,12,46,3,1,1,1
1,212,6,19,19,2,0,0,0
1,214,1,14,23,4,0,0,1
1,214,2,41,29,2,1,0,0
1,214,3,8,43,3,1,0,0
1,214,6,17,29,2,0,1,1
1,214,7,7,38,4,0,0,0
1,215,1,10,27,4,1,1,0
1,215,6,22,38,1,0,1,0
1,217,3,33,36,1,1,1,1
1,217,3,33,44,2,1,0,0
1,218,2,36,41,1,1,0,1
1,218,4,31,24,3,0,1,0
1,218,5,36,8,4,0,0,0
1,218,7,31,4,4,1,0,1
1,218,7,40,7,3,0,0,1
1,219,1,19,44,2,0,1,1
1,219,2,19,14,2,1,1,0
1,219,7,29,26,4,0,1,1
1,220,1,33,19,1,1,0,1
1,220,2,31,38,3,0,0,1
1,220,2,32,17,2,0,0,1
1,220,6,17,30,4,1,0,1
1,220,6,35,39,3,0,1,0
1,221,1,26,20,3,1,1,1
1,221,3,18,12,2,1,0,1
1,221,3,36,40,2,0,0,1
1,222,3,28,6,1,1,0,1
1,222,5,6,15,1,0,1,1
1,222,6,10,28,2,1,1,1
1,222,6,31,27,4,1,0,1
1,223,1,1,7,2,0,0,0
1,224,4,38,18,1,0,1,1
1,224,7,36,10,3,1,0,0
1,225,1,13,23,1,0,0,1
1,225,1,43,36,1,0,1,1
1,225,5,35,43,1,0,1,1
1,225,6,9,8,1,1,0,1
1,226,4,38,41,3,1,1,0
1,226,6,2,12,4,1,1,0
1,226,7,22,29,4,1,1,0
1,226,7,28,24,3,0,1,0
1,227,1,24,43,3,0,0,0
1,227,2,3,25,1,1,0,1
1,227,3,17,21,3,0,0,0
1,227,5,13,42,4,1,1,0
1,228,2,14,24,4,0,1,1
1,228,2,36,21,2,0,0,1
1,228,6,35,14,1,1,1,0
1,229,2,2,5,1,0,1,0
1,229,6,24,3,4,1,1,1
1,229,7,10,30,2,1,0,1
1,229,7,34,4,3,0,0,1
1,230,1,2,25,2,1,1,1
1,230,7,19,12,2,1,1,1
1,231,7,38,15,1,0,0,0
1,232,1,25,14,4,0,0,1
1,232,2,31,33,4,1,1,0
1,232,3,12,7,2,0,1,1
1,232,5,7,24,3,1,0,1
1,233,1,3,13,2,0,1,1
1,233,3,10,39,2,0,1,0
1,233,3,20,7,1,0,0,1
1,233,6,22,23,1,1,0,0
1,234,4,15,1,1,0,0,0
1,235,1,17,3,4,0,1,0
1,235,1,20,28,3,1,0,0
1,235,3,36,10,2,0,1,0
1,235,6,21,29,3,0,1,0
1,236,4,18,33,1,1,1,0
1,237,4,38,8,3,1,1,0
1,237,5,4,13,1,0,1,0
1,238,2,19,30,4,0,0,1
1,238,3,32,3,3,0,0,0
1,238,5,10,27,4,0,1,0
1,239,1,22,24,4,0,0,0
1,239,2,14,28,4,1,1,1
1,239,2,23,21,1,0,1,0
1,239,5,13,31,2,1,0,1
1,239,7,35,20,2,1,1,1
1,240,4,3,21,1,0,1,0
1,240,7,15,4,2,0,1,1
1,241,1,3,37,2,0,1,1
1,241,1,24,18,3,1,1,0
1,241,2,22,17,4,0,1,1
1,241,6,22,19,2,1,1,1
1,242,3,9,39,3,0,0,0
1,242,4,14,22,4,0,0,1
1,242,4,35,34,1,1,0,0
1,242,7,4,17,2,1,1,0
1,242,7,37,18,1,0,0,1
1,243,2,12,2,4,0,1,0
1,243,3,9,35,3,0,1,1
1,243,5,28,1,1,1,1,0
1,243,6,35,29,3,0,1,0
1,243,7,36,18,2,0,1,1
1,244,3,14,20,3,1,0,1
1,245,4,29,25,1,1,0,0
1,245,4,35,31,4,0,1,0
1,245,6,11,34,3,0,0,0
1,245,7,15,27,2,0,0,1
1,246,1,12,10,1,1,0,1
1,246,1,19,35,4,0,0,0
1,246,5,29,33,3,0,1,1
1,246,7,26,35,2,1,1,1
1,247,1,30,19,3,0,1,1
1,247,3,1,12,1,0,0,0
1,247,4,2,24,2,1,1,0
1,247,4,7,5,3,0,0,0
1,247,4,9,39,4,0,0,1
