batchsize,dim_input,dim_output,activation_fct
1,364,2828,0
1,372,752,0
1,377,968,0
1,385,53,1
1,387,1217,0
1,395,2748,1
1,399,635,0
1,407,1518,0
1,411,192,1
1,412,126,1
1,413,209,0
1,418,2558,1
1,418,3949,0
1,422,1722,1
1,423,3623,1
1,433,1927,1
1,434,261,1
1,434,2564,0
1,434,3512,0
1,437,3127,0
1,438,3033,1
1,438,3820,1
1,445,809,1
1,449,1435,1
1,450,1569,0
1,450,3195,0
1,452,3426,1
1,455,128,1
1,456,1815,0
1,459,1103,0
1,462,3468,0
1,463,3960,0
1,468,2117,1
1,469,1337,0
1,470,2402,1
1,480,1480,1
1,482,991,1
1,483,1409,0
1,486,317,1
1,487,1829,0
1,490,113,0
1,490,2725,1
1,504,703,0
1,509,1554,1
1,512,3692,0
1,514,3392,1
1,517,954,0
1,519,2455,1
1,522,2221,0
1,523,967,0
1,523,1328,1
1,526,2055,0
1,528,464,0
1,529,1534,0
1,537,86,1
1,543,3652,1
1,549,2283,1
1,552,1344,0
1,555,2950,1
1,558,502,0
1,558,2073,0
1,561,2908,0
1,567,1340,0
1,568,1724,1
1,569,803,1
1,570,3783,1
1,571,3185,1
1,576,2861,1
1,580,3875,1
1,582,2292,0
1,585,2822,0
1,586,2325,1
1,588,2725,1
1,589,2388,1
1,594,4018,0
1,598,277,0
1,600,2943,0
1,605,2468,1
1,612,1765,1
1,612,3836,0
1,614,1920,0
1,615,1832,1
1,617,1276,0
1,619,860,0
1,620,1670,0
1,620,2887,0
1,627,2438,1
1,630,461,1
1,631,369,1
1,631,652,1
1,631,3199,0
1,633,1011,1
1,634,2285,0
1,636,661,1
1,641,2048,1
1,641,2963,0
1,642,1213,0
1,642,3727,0
1,644,3817,0
1,645,675,1
1,647,2950,0
1,650,1350,0
1,651,2212,0
1,652,1380,1
1,655,3733,1
1,657,3833,1
1,658,1531,0
1,667,2517,0
1,668,899,0
1,670,872,1
1,676,2630,0
1,678,1124,1
1,684,3771,0
1,691,2299,1
1,700,3138,0
1,703,3561,1
1,704,1154,1
1,706,592,1
1,712,1859,1
1,713,3562,1
1,713,3964,1
1,714,1468,0
1,714,1548,0
1,717,195,0
1,718,12,1
1,721,1727,0
1,722,2203,1
1,724,320,1
1,726,2749,0
1,727,2480,0
1,728,3612,1
1,736,1070,1
1,738,2323,0
1,740,290,1
1,741,189,0
1,742,2500,1
1,742,2824,1
1,745,3456,1
1,745,4085,0
1,747,484,1
1,748,4022,0
1,749,973,1
1,750,1032,0
1,752,1782,0
1,752,3875,0
1,753,1427,1
1,756,4064,1
1,758,466,0
1,758,1282,0
1,761,3839,0
1,764,836,0
1,764,1458,0
1,765,370,0
1,765,3348,0
1,767,19,0
1,767,880,1
1,770,2107,1
1,774,1497,0
1,779,2814,0
1,787,2540,1
1,789,2725,0
1,795,1495,0
1,800,457,0
1,800,969,0
1,801,876,1
1,803,2007,0
1,809,564,0
1,809,3089,0
1,813,1732,1
1,822,1144,1
1,828,746,1
1,829,1632,1
1,836,883,1
1,836,3395,0
1,841,2493,0
1,842,3197,1
1,849,1994,1
1,850,3065,1
1,857,1261,1
1,860,1117,1
1,864,36,1
1,864,2743,0
1,865,563,1
1,870,1648,1
1,872,2621,1
1,885,122,0
1,885,2184,1
1,886,3235,0
1,890,541,1
1,890,1875,0
1,903,3077,0
1,906,2415,1
1,913,635,1
1,913,2400,0
1,915,3874,0
1,917,1961,1
1,917,2002,1
1,918,2966,1
1,923,1179,1
1,923,2379,1
1,923,2465,1
1,924,3763,1
1,926,2595,0
1,926,3277,0
1,929,1981,0
1,931,1729,1
1,937,1958,1
1,938,1734,1
1,940,2066,0
1,941,42,1
1,942,2616,0
1,942,2960,0
1,949,872,1
1,950,408,0
1,952,3293,0
1,956,2787,1
1,957,2114,1
1,962,1519,0
1,962,1908,0
1,963,4096,0
1,967,2836,1
1,967,2845,1
1,975,2376,0
1,980,1426,1
1,980,3412,1
1,982,679,0
1,984,1087,1
1,988,1538,0
1,989,3949,1
1,990,4065,1
1,995,3961,1
1,1001,289,0
1,1004,915,0
1,1008,2465,1
1,1012,1216,0
1,1013,3305,0
1,1016,125,0
1,1023,2231,0
1,1028,2813,1
1,1033,2681,1
1,1038,4063,1
1,1042,3508,1
1,1045,1869,0
1,1047,1231,1
1,1047,3461,0
1,1048,2994,1
1,1049,778,1
1,1050,27,1
1,1051,1355,1
1,1054,286,1
1,1059,1309,1
1,1065,3406,1
1,1072,3349,0
1,1075,128,1
1,1077,1405,0
1,1078,3366,0
1,1078,3578,1
1,1084,2088,1
1,1085,250,0
1,1091,2752,1
1,1092,864,0
1,1094,637,0
1,1099,1756,0
1,1103,448,0
1,1103,3483,0
1,1107,248,1
1,1107,1599,0
1,1109,1425,0
1,1111,760,1
1,1111,3204,1
1,1112,608,0
1,1113,2109,0
1,1119,915,1
1,1121,26,1
1,1121,1313,1
1,1121,2590,0
1,1125,1013,1
1,1129,386,1
1,1129,1864,0
1,1133,3476,1
1,1137,2815,1
1,1140,5,0
1,1141,1787,0
1,1147,159,0
1,1149,2732,0
1,1153,2089,1
1,1154,72,1
1,1154,316,0
1,1159,1044,1
1,1159,1615,0
1,1159,3911,0
1,1160,3744,0
1,1163,2489,0
1,1165,3527,1
1,1166,85,1
1,1166,862,1
1,1168,3615,0
1,1169,1423,0
1,1172,173,1
1,1173,4078,0
1,1176,3114,1
1,1177,1231,0
1,1180,840,1
1,1180,1067,1
1,1180,2933,1
1,1181,1664,1
1,1181,3429,1
1,1183,2287,1
1,1187,1983,0
1,1192,2188,1
1,1194,11,1
1,1198,1132,0
1,1205,1653,1
1,1206,1781,1
1,1207,251,0
1,1210,93,1
1,1213,1931,0
1,1216,588,0
1,1218,3297,0
1,1221,3815,1
1,1223,85,1
1,1228,564,1
1,1229,3714,0
1,1231,1059,0
1,1234,1124,1
1,1246,142,0
1,1246,724,1
1,1247,3723,0
1,1248,2282,1
1,1248,3355,1
1,1248,3852,1
1,1259,3464,0
1,1262,2688,1
1,1262,2799,0
1,1263,2407,1
1,1265,2769,1
1,1266,84,0
1,1267,839,1
1,1268,686,1
1,1270,3741,0
1,1272,469,1
1,1279,2949,1
1,1280,2816,1
1,1284,2250,0
1,1292,1526,0
1,1292,2193,1
1,1300,4061,1
1,1302,787,0
1,1306,6,0
1,1308,817,1
1,1308,2937,1
1,1310,3038,0
1,1311,1860,1
1,1314,203,0
1,1314,1711,1
1,1320,1231,0
1,1324,1478,1
1,1327,3617,1
1,1329,1294,0
1,1330,2523,1
1,1332,1278,1
1,1333,2142,0
1,1335,2805,1
1,1340,4064,0
1,1347,1608,0
1,1350,3243,1
1,1351,3111,1
1,1351,3417,0
1,1357,2132,0
1,1360,2723,1
1,1361,3414,1
1,1369,3502,0
1,1370,579,0
1,1371,1776,0
1,1373,1524,1
1,1375,402,0
1,1378,3330,0
1,1390,1443,1
1,1391,1089,1
1,1393,2713,1
1,1395,488,0
1,1398,1294,0
1,1399,2911,1
1,1401,2698,0
1,1404,1187,1
1,1405,146,1
1,1412,3428,0
1,1415,621,0
1,1418,3284,0
1,1425,3399,0
1,1428,3870,0
1,1429,3505,1
1,1430,2577,1
1,1432,203,1
1,1436,210,0
1,1438,3364,1
1,1439,1132,0
1,1439,3816,0
1,1441,2689,1
1,1443,1046,0
1,1444,1353,0
1,1453,1664,0
1,1455,1667,0
1,1456,1336,0
1,1456,4091,0
1,1461,1245,1
1,1462,2213,0
1,1468,1488,0
1,1470,667,1
1,1474,3193,0
1,1477,3486,1
1,1478,1741,0
1,1478,3810,1
1,1486,1562,0
1,1486,1900,1
1,1493,3483,1
1,1494,3249,0
1,1499,3398,0
1,1501,3194,0
1,1503,1409,0
1,1504,3840,0
1,1505,4046,0
1,1506,658,1
1,1514,337,1
1,1517,813,0
1,1518,2859,0
1,1518,4096,0
1,1524,3661,1
1,1525,1552,1
1,1527,1404,1
1,1529,352,1
1,1531,3962,0
1,1537,2740,1
1,1541,3435,0
1,1543,1143,1
1,1545,1907,1
1,1546,3453,1
1,1548,1033,1
1,1549,2762,0
1,1552,3409,0
1,1554,1232,1
1,1560,1960,1
1,1563,2664,0
1,1565,1328,1
1,1565,3762,0
1,1569,3957,1
1,1572,2889,0
1,1574,3135,1
1,1579,335,0
1,1584,214,0
1,1588,883,0
1,1590,3684,1
1,1593,3622,1
1,1604,2790,0
1,1606,1923,1
1,1606,2279,0
1,1607,2839,0
1,1609,1204,1
1,1609,2989,1
1,1611,3365,1
1,1611,3551,0
1,1612,742,1
1,1612,1228,0
1,1628,1263,0
1,1630,2147,0
1,1632,1608,1
1,1632,1893,0
1,1644,799,0
1,1654,189,0
1,1654,985,1
1,1656,2173,1
1,1660,1509,0
1,1669,380,1
1,1669,1765,1
1,1670,1524,1
1,1676,3924,1
1,1683,2870,0
1,1684,1885,0
1,1685,2923,1
1,1686,1771,1
1,1689,316,0
1,1690,2357,1
1,1698,1477,1
1,1699,3936,1
1,1701,3432,1
1,1702,1751,1
1,1705,2406,1
1,1708,3774,0
1,1710,2620,0
1,1712,630,1
1,1714,2252,1
1,1715,3039,1
1,1715,3750,0
1,1722,3095,1
1,1729,3514,1
1,1741,2405,0
1,1745,356,0
1,1749,797,0
1,1751,3910,1
1,1754,2017,0
1,1759,767,0
1,1769,3979,0
1,1774,3270,1
1,1779,2298,0
1,1781,13,0
1,1781,787,1
1,1784,3032,1
1,1789,246,0
1,1789,3886,0
1,1790,2050,1
1,1791,1519,1
1,1793,1744,1
1,1797,3522,0
1,1798,3564,0
1,1803,2589,0
1,1805,3337,1
1,1809,2919,1
1,1811,3801,0
1,1815,2120,1
1,1817,2493,1
1,1819,2994,1
1,1821,1579,1
1,1821,3513,0
1,1824,2843,0
1,1830,1334,1
1,1838,1417,0
1,1846,2236,1
1,1847,2220,1
1,1847,2491,1
1,1849,1248,0
1,1849,1806,0
1,1859,4069,1
1,1860,1724,1
1,1861,3572,0
1,1870,23,0
1,1870,1587,1
1,1872,871,0
1,1873,3778,1
1,1881,2935,0
1,1883,3719,0
1,1886,783,0
1,1891,2762,0
1,1894,979,1
1,1898,847,0
1,1909,3019,0
1,1911,690,1
1,1915,167,0
1,1918,1756,0
1,1918,3288,1
1,1925,534,0
1,1929,811,0
1,1930,3240,1
1,1931,2206,1
1,1931,3419,1
1,1934,3930,1
1,1936,3232,1
1,1937,148,1
1,1939,851,1
1,1942,871,0
1,1948,1103,1
1,1950,2235,1
1,1956,1539,1
1,1958,3689,0
1,1959,2269,0
1,1961,2422,1
1,1961,3832,1
1,1963,566,1
1,1963,2111,1
1,1963,3628,1
1,1963,3662,1
1,1966,443,1
1,1970,89,1
1,1976,433,1
1,1976,1864,1
1,1977,3475,0
1,1983,2441,1
1,1986,462,0
1,1986,859,1
1,1988,521,0
1,1992,3187,0
1,1995,3969,0
1,2001,1593,0
1,2002,1094,1
1,2007,604,1
1,2010,1793,1
1,2010,3560,0
1,2018,3196,1
1,2020,2123,0
1,2023,153,0
1,2025,2238,0
1,2027,3916,0
1,2030,1901,0
1,2030,3368,0
1,2030,3740,0
1,2031,1198,1
1,2035,3983,0
1,2048,3751,0
1,2051,2962,0
1,2057,1061,0
1,2058,97,1
1,2059,290,1
1,2059,3575,1
1,2070,2589,0
1,2071,3608,1
1,2074,1962,0
1,2076,1788,0
1,2080,3751,0
1,2082,311,0
1,2083,3423,0
1,2084,440,0
1,2085,1416,0
1,2096,3622,1
1,2098,746,0
1,2101,2303,0
1,2103,1548,0
1,2105,3928,1
1,2110,2675,1
1,2116,3030,1
1,2117,3370,0
1,2117,3645,1
1,2118,774,0
1,2122,3522,1
1,2126,327,1
1,2130,3310,0
1,2137,2162,0
1,2140,2882,1
1,2143,328,0
1,2144,538,1
1,2144,3145,1
1,2148,2433,1
1,2150,714,1
1,2151,1684,1
1,2152,245,0
1,2152,1220,1
1,2153,2056,1
1,2154,595,0
1,2158,1089,1
1,2161,3731,1
1,2164,1795,1
1,2166,2204,1
1,2173,223,0
1,2179,3721,1
1,2181,911,1
1,2182,3727,0
1,2188,57,0
1,2188,1839,0
1,2190,3884,1
1,2195,2998,1
1,2209,1543,0
1,2210,1957,1
1,2215,3859,1
1,2218,2854,0
1,2219,2423,1
1,2220,1356,1
1,2227,2509,0
1,2228,2466,1
1,2230,1740,1
1,2232,2311,1
1,2232,3367,0
1,2235,2458,0
1,2236,998,0
1,2237,978,1
1,2239,550,0
1,2241,2426,0
1,2242,3034,0
1,2247,3631,0
1,2256,2932,1
1,2260,3535,0
1,2265,17,0
1,2270,1146,1
1,2279,1030,1
1,2280,2259,0
1,2283,3728,1
1,2284,1301,1
1,2284,1309,0
1,2291,1410,0
1,2293,2567,0
1,2295,1450,1
1,2299,665,0
1,2300,751,1
1,2304,2874,1
1,2313,2904,1
1,2316,2936,0
1,2319,825,0
1,2321,1767,1
1,2322,3275,0
1,2324,3352,1
1,2325,1560,1
1,2328,1503,1
1,2329,752,1
1,2329,1013,0
1,2329,1276,0
1,2334,1592,1
1,2338,2156,0
1,2343,2202,0
1,2347,970,1
1,2349,348,1
1,2350,1708,0
1,2352,1305,1
1,2354,1651,1
1,2356,2737,1
1,2357,1741,1
1,2364,3544,1
1,2365,1481,0
1,2366,3889,0
1,2369,392,1
1,2369,2685,1
1,2369,3780,1
1,2381,3363,1
1,2386,2605,1
1,2394,478,1
1,2394,1231,0
1,2406,2063,1
1,2406,2630,1
1,2411,2411,1
1,2412,2390,0
1,2418,3381,1
1,2419,1764,0
1,2421,2018,1
1,2428,1642,1
1,2428,2679,1
1,2430,3751,1
1,2436,1065,1
1,2436,3550,0
1,2437,1973,1
1,2441,467,1
1,2442,2135,1
1,2445,2913,1
1,2447,3083,0
1,2455,115,0
1,2456,1896,1
1,2457,1020,0
1,2457,1159,1
1,2458,903,0
1,2459,1402,1
1,2460,3995,0
1,2462,943,0
1,2467,2515,1
1,2468,326,1
1,2468,1629,0
1,2470,2536,1
1,2478,4069,0
1,2484,530,1
1,2484,1551,0
1,2485,2555,0
1,2488,3986,0
1,2489,3864,1
1,2491,1248,1
1,2491,1435,1
1,2493,3898,0
1,2496,1544,1
1,2496,4065,1
1,2502,3504,1
1,2505,2078,1
1,2509,2091,1
1,2511,2587,1
1,2521,2827,1
1,2522,1552,0
1,2524,2068,1
1,2525,1938,0
1,2527,2204,0
1,2528,3634,1
1,2529,2476,0
1,2530,1109,1
1,2531,974,0
1,2533,1779,0
1,2533,3046,0
1,2534,3293,0
1,2542,3589,1
1,2543,2053,1
1,2545,1385,1
1,2548,3778,0
1,2549,1766,0
1,2549,2157,1
1,2550,3556,1
1,2562,2565,0
1,2564,1282,1
1,2571,1198,0
1,2575,87,1
1,2577,1783,0
1,2581,2614,0
1,2582,3350,0
1,2583,1971,0
1,2584,2028,1
1,2585,1385,1
1,2587,3075,1
1,2588,1848,1
1,2591,680,1
1,2593,2756,1
1,2595,484,1
1,2597,1515,1
1,2600,1434,0
1,2600,3981,1
1,2604,1424,0
1,2607,1694,0
1,2615,3836,0
1,2618,462,1
1,2619,2647,0
1,2621,1128,1
1,2626,456,1
1,2629,2878,1
1,2629,3473,0
1,2630,1358,0
1,2630,1420,0
1,2632,2704,1
1,2637,2884,0
1,2640,3068,0
1,2644,2938,0
1,2650,1477,0
1,2652,2756,1
1,2655,736,1
1,2663,2569,1
1,2666,3,0
1,2672,1150,0
1,2682,767,1
1,2682,2186,1
1,2684,435,0
1,2685,3499,0
1,2685,3889,1
1,2686,1482,0
1,2687,1800,0
1,2687,3395,0
1,2688,2214,1
1,2691,230,1
1,2701,471,0
1,2701,3544,0
1,2705,1779,1
1,2705,3036,0
1,2711,1385,1
1,2713,785,0
1,2713,903,1
1,2714,2215,1
1,2718,3536,0
1,2722,1720,0
1,2723,3515,1
1,2724,1294,1
1,2728,219,1
1,2731,2100,1
1,2735,2940,1
1,2736,2417,1
1,2736,2526,1
1,2739,1041,0
1,2740,428,0
1,2742,1363,0
1,2748,3419,1
1,2749,2996,1
1,2753,1434,0
1,2756,3737,0
1,2762,1096,0
1,2762,2056,1
1,2764,2690,1
1,2766,3114,0
1,2769,1285,0
1,2773,3574,0
1,2775,1942,0
1,2777,3276,1
1,2777,3443,0
1,2781,832,1
1,2782,3234,0
1,2786,3423,0
1,2786,3470,1
1,2788,1477,1
1,2788,3505,0
1,2791,3486,0
1,2794,4085,1
1,2795,3097,0
1,2803,640,0
1,2809,964,1
1,2814,3070,0
1,2815,1303,0
1,2818,1248,1
1,2819,498,0
1,2820,847,0
1,2821,960,1
1,2821,1486,1
1,2824,3159,0
1,2827,524,0
1,2828,3968,0
1,2829,3149,0
1,2837,4051,1
1,2839,2865,1
1,2844,2667,0
1,2845,1257,1
1,2845,1359,1
1,2847,1887,1
1,2847,3927,1
1,2849,3444,0
1,2853,1267,0
1,2854,2351,0
1,2856,3410,1
1,2857,3272,0
1,2858,3801,0
1,2864,3098,0
1,2869,2448,0
1,2873,1091,0
1,2873,3820,1
1,2874,499,0
1,2876,745,1
1,2876,789,0
1,2881,1956,1
1,2882,115,0
1,2892,715,0
1,2894,592,0
1,2894,2419,1
1,2899,3011,1
1,2903,3721,0
1,2904,2775,0
1,2905,3427,1
1,2911,1631,1
1,2912,3876,0
1,2915,3110,0
1,2915,3783,0
1,2921,3165,0
1,2923,664,0
1,2933,1993,0
1,2934,3861,0
1,2937,753,1
1,2943,554,0
1,2946,3927,0
1,2952,804,1
1,2955,1821,0
1,2959,1207,0
1,2968,422,1
1,2968,2500,0
1,2970,1176,1
1,2971,1208,0
1,2971,3180,1
1,2972,4079,0
1,2974,498,0
1,2976,499,0
1,2977,284,0
1,2978,1843,0
1,2978,3333,1
1,2983,4082,0
1,2986,3314,1
1,2988,563,1
1,2989,695,1
1,2999,571,1
1,3000,3594,0
1,3002,316,1
1,3007,650,1
1,3007,837,1
1,3008,29,1
1,3009,2732,1
1,3010,3091,1
1,3016,56,0
1,3019,1598,1
1,3021,421,0
1,3023,685,0
1,3024,3737,1
1,3025,679,1
1,3033,2584,1
1,3033,2913,1
1,3034,2883,1
1,3035,2371,0
1,3036,2128,1
1,3036,3268,0
1,3037,1574,0
1,3038,857,0
1,3040,4063,0
1,3042,1774,1
1,3043,1249,0
1,3044,1258,1
1,3054,3553,0
1,3055,1652,0
1,3057,1854,0
1,3058,989,0
1,3061,1566,0
1,3062,205,0
1,3064,1477,1
1,3065,2524,0
1,3068,3607,1
1,3069,2764,1
1,3070,825,0
1,3075,271,0
1,3078,2118,1
1,3081,94,0
1,3083,913,1
1,3091,1919,0
1,3092,3805,0
1,3096,905,1
1,3096,1480,0
1,3096,2098,0
1,3102,2210,0
1,3103,3701,0
1,3110,3682,0
1,3111,3796,0
1,3113,1182,1
1,3113,1783,1
1,3115,2988,1
1,3117,831,1
1,3117,2460,0
1,3123,3102,0
1,3125,368,1
1,3125,787,0
1,3126,2057,1
1,3133,2967,0
1,3135,859,1
1,3138,3629,1
1,3141,3048,1
1,3142,860,1
1,3146,439,1
1,3146,960,1
1,3150,4038,1
1,3152,311,0
1,3159,2958,1
1,3165,210,0
1,3168,1950,0
1,3168,2282,1
1,3169,3230,1
1,3170,2697,1
1,3172,2528,1
1,3173,733,1
1,3174,1881,1
1,3174,2191,0
1,3175,4056,0
1,3198,1873,1
1,3201,749,1
1,3211,1487,0
1,3211,3807,0
1,3212,2389,1
1,3213,3973,1
1,3217,2907,0
1,3217,4070,0
1,3219,1129,1
1,3221,3319,1
1,3222,2346,1
1,3223,2717,0
1,3227,665,0
1,3232,2300,1
1,3233,2149,1
1,3234,300,1
1,3238,1466,1
1,3241,758,0
1,3242,2260,0
1,3243,3429,1
1,3247,1696,1
1,3249,2656,1
1,3255,1988,0
1,3259,2746,0
1,3267,3055,0
1,3269,987,1
1,3269,1203,0
1,3269,3026,1
1,3272,976,1
1,3273,577,1
1,3279,2612,0
1,3280,1721,0
1,3281,2035,1
1,3281,3403,0
1,3282,3672,1
1,3284,1397,1
1,3286,1699,1
1,3307,404,0
1,3307,1146,1
1,3307,3857,0
1,3308,1946,0
1,3312,3740,0
1,3315,853,1
1,3317,1423,0
1,3319,2216,1
1,3327,3896,0
1,3330,1922,1
1,3331,1628,1
1,3332,2079,1
1,3334,1373,0
1,3334,1621,1
1,3335,971,0
1,3338,2379,1
1,3340,2245,1
1,3349,949,1
1,3353,1250,0
1,3361,1212,1
1,3361,2813,0
1,3368,1714,0
1,3368,1967,0
1,3376,691,1
1,3380,2616,1
1,3383,1425,0
1,3383,3429,0
1,3383,3944,0
1,3385,76,1
1,3386,2610,0
1,3390,1862,1
1,3391,1771,1
1,3394,3268,0
1,3394,3912,1
1,3395,80,0
1,3396,3815,1
1,3403,2151,0
1,3408,3524,0
1,3410,153,1
1,3415,3994,0
1,3420,1865,1
1,3420,3519,1
1,3424,1581,0
1,3424,2393,0
1,3425,319,0
1,3426,3556,1
1,3436,1247,1
1,3441,3351,0
1,3442,558,0
1,3442,4091,0
1,3444,1641,1
1,3445,1660,0
1,3447,1140,0
1,3449,1429,0
1,3449,3197,1
1,3450,2173,0
1,3457,2093,0
1,3458,526,0
1,3459,2773,1
1,3461,2331,0
1,3466,1177,1
1,3467,2708,1
1,3470,3099,1
1,3472,1866,0
1,3475,3121,0
1,3475,3482,1
1,3476,1443,1
1,3478,1078,0
1,3479,152,1
1,3481,269,1
1,3486,19,1
1,3486,3412,1
1,3490,889,0
1,3492,3022,0
1,3493,3331,1
1,3493,3471,1
1,3494,2182,0
1,3496,3204,0
1,3498,2926,0
1,3500,1725,0
1,3500,2932,1
1,3502,1444,0
1,3504,272,0
1,3504,3494,0
1,3508,823,0
1,3512,2273,1
1,3516,3009,0
1,3518,2760,0
1,3522,265,1
1,3522,1265,1
1,3529,1642,0
1,3530,3702,0
1,3531,1558,0
1,3537,2212,1
1,3549,3610,1
1,3550,1623,1
1,3552,3545,0
1,3556,2112,1
1,3560,1263,0
1,3572,786,0
1,3572,4041,0
1,3573,157,1
1,3573,668,1
1,3578,667,0
1,3578,3807,0
1,3589,2249,1
1,3589,4061,0
1,3594,1683,0
1,3600,4090,1
1,3601,875,1
1,3602,2420,0
1,3606,2676,0
1,3612,1862,0
1,3613,337,0
1,3615,632,0
1,3619,2663,0
1,3620,1228,0
1,3620,2009,1
1,3620,3184,1
1,3623,577,1
1,3628,3128,1
1,3631,2562,0
1,3634,541,0
1,3634,2912,0
1,3634,3447,1
1,3639,2985,0
1,3639,3944,1
1,3642,4026,1
1,3645,3227,1
1,3645,3579,1
1,3646,474,1
1,3646,2640,1
1,3646,3016,0
1,3658,1463,0
1,3662,1691,0
1,3664,1855,0
1,3671,2346,0
1,3673,2215,1
1,3674,3449,1
1,3676,1910,1
1,3680,4064,1
1,3681,2982,0
1,3682,445,0
1,3685,3680,0
1,3686,3408,1
1,3687,2897,0
1,3687,3479,0
1,3688,1526,1
1,3689,1373,0
1,3690,2307,1
1,3690,3167,0
1,3692,400,0
1,3694,1143,0
1,3694,2533,0
1,3697,4082,0
1,3700,744,1
1,3700,1813,1
1,3701,3525,1
1,3703,1109,1
1,3706,4096,0
1,3708,2679,1
1,3709,2854,1
1,3711,2002,0
1,3714,2586,0
1,3717,972,1
1,3717,3428,1
1,3723,2692,0
1,3724,467,0
1,3724,568,1
1,3726,1511,0
1,3730,923,1
1,3733,1978,0
1,3734,2712,0
1,3735,3119,1
1,3752,639,0
1,3752,3338,1
1,3754,1560,1
1,3755,3236,1
1,3757,2078,1
1,3764,2961,0
1,3768,1271,0
1,3771,653,1
1,3772,1146,0
1,3778,1965,1
1,3780,1539,0
1,3781,153,1
1,3783,3466,1
1,3784,2372,1
1,3788,179,1
1,3788,1289,1
1,3789,3091,0
1,3790,464,1
1,3792,335,1
1,3793,219,0
1,3795,105,0
1,3795,147,0
1,3797,2540,0
1,3800,1296,1
1,3800,1568,1
1,3803,4009,0
1,3805,2507,1
1,3808,1765,1
1,3808,2108,0
1,3809,2598,1
1,3814,1285,1
1,3822,3936,1
1,3824,3389,0
1,3825,3570,0
1,3827,284,1
1,3828,1738,0
1,3830,1776,1
1,3831,1613,1
1,3832,3705,0
1,3833,3061,0
1,3834,1538,1
1,3837,1747,0
1,3837,2106,0
1,3837,3882,0
1,3840,409,1
1,3840,3631,0
1,3842,1765,1
1,3847,2946,0
1,3848,3931,0
1,3849,36,1
1,3851,7,1
1,3857,2405,0
1,3858,3102,1
1,3860,1343,0
1,3861,3301,1
1,3864,365,0
1,3866,1586,0
1,3868,138,0
1,3868,1277,0
1,3869,1334,0
1,3870,3233,0
1,3873,2909,0
1,3874,1986,1
1,3875,1499,0
1,3878,3994,0
1,3880,331,1
1,3881,2743,1
1,3887,649,0
1,3890,1915,0
1,3892,713,0
1,3892,2686,1
1,3893,470,0
1,3893,3596,1
1,3894,2696,1
1,3900,3219,0
1,3901,338,1
1,3903,1905,0
1,3908,3022,1
1,3910,2220,1
1,3910,3568,0
1,3913,1651,0
1,3914,1242,0
1,3921,685,0
1,3924,3928,0
1,3927,1778,1
1,3927,3692,1
1,3928,577,0
1,3930,457,1
1,3930,1687,0
1,3933,3698,0
1,3935,2516,1
1,3936,1468,0
1,3939,3342,1
1,3940,2069,0
1,3941,547,0
1,3942,1071,1
1,3943,491,1
1,3944,1649,1
1,3948,3202,1
1,3950,61,1
1,3950,112,0
1,3950,3921,1
1,3954,1123,1
1,3963,3298,1
1,3965,2796,0
1,3966,2128,0
1,3969,1955,1
1,3971,2545,1
1,3976,793,0
1,3976,2217,0
1,3976,2697,1
1,3979,940,0
1,3979,3101,0
1,3986,3148,0
1,3988,1826,0
1,3988,3784,0
1,3990,3496,0
1,4001,1344,0
1,4001,3213,0
1,4002,305,0
1,4007,281,0
1,4007,2300,0
